Asset_ID,Asset_Type,Installation_Year,Last_Maintenance_Date,Total_Maintenance_Cost,Condition_Score,Failure_Impact_Score,Failure_History_Count,Operating_Hours,Environmental_Stress_Index,System_Importance_Score,Failure_Probability,Priority_Score,Budget_Constraint_Flag,Scheduled_Disposal_Year,RUL
A0453,Recloser,1994,2019-08-16,32385.39,5.2,82,0,65510,0.89,0.44,0.62,34.92,1,2025,2.85
A0454,Recloser,2011,2020-01-20,2885.21,7.85,88,6,77407,0.49,0.05,0.76,67.03,1,2034,4.74
A0455,Switchgear,1990,2020-02-09,18322.5,2.39,47,7,8610,0.77,0.01,0.48,64.24,0,2030,5.29
A0456,Circuit Breaker,2002,2022-02-22,47861.59,5.39,40,8,93918,1.0,0.92,0.92,93.1,1,2025,0.23
A0457,Recloser,2005,2021-12-05,25269.86,4.87,51,7,16791,0.75,0.13,0.7,84.14,0,2030,7.35
A0458,Cable,2013,2019-11-12,21920.09,6.37,42,4,59047,0.2,0.45,0.74,64.74,1,2026,4.86
A0459,Circuit Breaker,2013,2021-07-17,23156.13,10.0,7,2,68906,0.57,0.82,0.2,34.15,1,2032,8.09
A0460,Cable,2008,2021-11-04,10839.69,7.93,50,9,20665,0.63,0.89,0.77,77.96,0,2035,10.52
A0461,Transformer,1983,2023-01-05,18751.0,4.58,48,8,71246,0.26,0.52,0.83,57.52,0,2027,1.56
A0462,Circuit Breaker,1996,2024-07-24,18805.76,8.45,84,5,66864,0.97,0.57,0.36,98.53,1,2034,6.49
A0463,Recloser,2014,2020-05-31,3091.57,2.54,91,4,47451,0.26,0.67,0.22,24.75,1,2030,1.57
A0464,Circuit Breaker,1992,2021-01-28,38494.6,1.27,6,2,87148,0.26,0.96,0.39,7.97,1,2030,0.0
A0465,Circuit Breaker,1994,2021-10-04,21116.97,2.84,91,5,46890,0.92,0.6,0.73,6.99,0,2028,1.98
A0466,Circuit Breaker,2008,2022-01-24,41197.9,4.06,9,2,7794,0.52,0.56,0.42,64.0,0,2029,7.31
A0467,Circuit Breaker,2008,2019-08-22,42592.23,5.6,57,9,33888,0.16,0.01,0.73,93.93,1,2026,6.49
A0468,Cable,1990,2023-06-16,10993.71,6.54,31,5,7749,0.64,0.08,0.12,0.19,1,2034,10.2
A0469,Transformer,2011,2022-02-23,33039.0,9.2,21,3,47531,0.64,0.58,0.8,72.58,0,2034,9.3
A0470,Switchgear,1981,2024-04-20,23877.95,5.59,90,1,21608,0.16,0.94,0.26,65.71,0,2032,7.71
A0471,Circuit Breaker,1993,2021-09-12,44067.76,5.51,40,7,81986,0.98,0.87,0.25,73.23,1,2034,1.56
A0472,Recloser,1999,2019-12-01,11179.16,1.45,45,3,70211,0.59,0.98,0.59,35.54,0,2031,0.0
A0473,Circuit Breaker,2001,2020-02-02,34051.75,1.31,77,8,84996,0.6,0.53,0.08,82.05,1,2034,0.0
A0474,Recloser,1990,2020-11-01,30583.73,5.96,49,6,57017,0.57,0.79,0.04,4.47,0,2030,4.59
A0475,Cable,2006,2022-09-03,15117.42,4.94,87,1,58676,0.65,0.84,0.27,75.54,1,2031,3.24
A0476,Recloser,1982,2022-07-16,7261.74,8.55,20,3,12560,0.34,0.65,0.54,26.71,1,2025,12.06
A0477,Switchgear,1996,2023-10-25,32756.17,2.45,92,4,55401,0.36,0.34,0.9,47.68,1,2029,0.67
A0478,Transformer,2007,2024-05-15,37060.57,1.22,17,2,51468,0.56,0.47,0.84,82.26,0,2031,0.0
A0479,Recloser,2008,2024-10-26,16123.55,5.04,28,8,33463,0.83,0.86,0.49,27.14,1,2025,5.88
A0480,Recloser,2000,2022-05-06,32419.21,3.14,41,4,32663,0.14,0.3,0.05,18.52,1,2026,3.75
A0481,Transformer,1995,2020-01-03,20058.98,1.45,66,1,69706,0.64,0.92,0.53,68.13,0,2033,0.0
A0482,Switchgear,1999,2024-05-29,35803.74,7.52,25,2,59773,0.83,0.23,0.7,53.34,1,2027,6.12
A0483,Circuit Breaker,1985,2021-12-18,10361.16,2.0,58,8,34123,0.24,0.75,0.34,51.44,1,2030,2.28
A0484,Recloser,1998,2022-05-07,44565.64,6.47,41,6,95346,0.11,0.63,0.12,25.68,1,2031,1.34
A0485,Transformer,1984,2022-01-24,14726.78,3.53,6,1,10718,0.38,0.75,0.28,3.49,0,2033,6.4
A0486,Cable,1982,2024-03-05,18705.41,2.56,75,8,63637,0.63,0.44,0.77,41.03,0,2029,0.0
A0487,Transformer,1980,2021-10-17,3375.55,4.42,38,3,1028,0.22,0.93,0.35,10.66,0,2028,8.41
A0488,Cable,1994,2023-04-30,6019.85,8.21,6,8,63370,0.48,0.63,0.81,90.6,0,2035,6.57
A0489,Switchgear,2013,2023-07-06,26035.16,4.53,45,1,48599,0.6,0.29,0.32,4.13,1,2026,3.77
A0490,Circuit Breaker,2014,2021-07-07,13745.84,7.76,75,9,18397,0.64,0.64,0.17,43.17,0,2027,10.55
A0491,Transformer,2004,2023-06-26,41856.27,2.13,14,3,46406,0.35,0.29,0.44,5.22,0,2029,1.2
A0492,Recloser,2003,2020-09-16,1227.32,7.95,66,4,48657,0.46,0.29,0.45,9.55,0,2035,7.74
A0493,Switchgear,1991,2020-02-16,19265.16,3.13,40,1,68560,0.8,0.4,0.03,65.89,1,2026,0.14
A0494,Transformer,1997,2020-02-03,17198.6,7.1,3,9,14503,0.95,0.85,0.12,64.71,1,2028,10.17
A0495,Recloser,1994,2024-01-02,1456.72,6.09,99,0,55943,0.88,0.5,0.19,3.31,1,2025,4.85
A0496,Transformer,1995,2023-01-05,6656.24,9.36,97,6,76839,0.61,0.68,0.12,0.11,0,2028,6.55
A0497,Cable,2006,2021-12-20,20975.31,4.49,24,9,83674,0.47,0.39,0.34,7.88,1,2031,0.21
A0498,Transformer,1987,2023-07-22,24896.8,1.6,19,0,26345,0.4,0.26,0.96,76.3,1,2027,2.59
A0499,Transformer,2004,2022-06-17,20512.34,1.17,18,7,51390,0.21,0.95,0.51,58.46,0,2034,0.0
A0500,Transformer,1996,2019-09-09,26781.42,8.44,64,2,96041,0.2,0.6,0.63,3.81,1,2032,3.56
A0501,Switchgear,2008,2022-10-29,29959.02,5.72,88,9,60557,0.72,0.93,0.36,48.81,0,2030,3.95
A0502,Transformer,1987,2023-06-16,991.23,7.98,35,5,66054,0.33,0.2,0.33,71.2,0,2030,6.03
A0503,Recloser,1994,2024-06-24,23472.71,3.11,62,6,2906,0.33,0.15,0.03,86.9,1,2025,6.7
A0504,Cable,2006,2020-04-14,48193.21,4.11,1,9,41167,1.0,0.86,0.5,93.4,0,2029,4.03
A0505,Cable,1986,2023-04-19,26192.1,1.27,100,0,8961,0.27,0.68,0.48,32.74,0,2027,3.95
A0506,Transformer,1982,2019-08-13,34038.34,9.65,25,5,27140,0.23,0.19,0.16,13.58,0,2034,11.87
A0507,Switchgear,2008,2024-06-27,15937.26,7.01,45,6,59701,0.19,0.27,0.76,23.69,0,2025,5.54
A0508,Switchgear,2003,2021-08-09,38812.57,9.4,49,5,78567,0.62,0.8,0.49,77.62,0,2032,6.43
A0509,Recloser,1982,2024-10-04,38759.61,3.39,98,3,81664,0.67,0.45,0.34,97.15,0,2031,0.0
A0510,Transformer,1999,2022-06-02,26304.15,6.5,89,0,82199,0.43,0.67,0.15,46.64,1,2031,2.69
A0511,Cable,1994,2019-11-19,48812.68,7.11,16,8,82218,0.58,0.32,0.55,30.54,0,2034,3.4
A0512,Switchgear,2004,2021-03-31,6714.74,3.86,98,3,81729,0.81,0.38,0.75,42.92,0,2034,0.0
A0513,Transformer,2009,2019-09-19,1338.91,8.63,93,6,29561,0.84,0.99,0.29,30.48,0,2034,10.44
A0514,Switchgear,1993,2024-05-06,38622.83,9.52,19,6,51568,0.96,0.25,0.22,25.65,0,2028,9.27
A0515,Switchgear,1986,2023-10-24,40454.2,8.96,23,1,74302,0.84,0.51,0.52,59.38,1,2035,6.34
A0516,Cable,1996,2023-02-08,6450.26,7.65,83,0,96380,0.61,0.84,0.16,1.57,1,2030,2.61
A0517,Circuit Breaker,1999,2021-10-27,13646.35,3.5,25,7,95968,0.26,0.24,0.66,25.96,0,2033,0.0
A0518,Recloser,2015,2021-11-29,1368.84,3.53,16,7,30504,0.19,0.42,0.6,66.14,1,2027,4.42
A0519,Recloser,1988,2023-06-10,15018.78,9.67,54,6,38146,0.15,0.62,0.1,3.21,0,2033,10.79
A0520,Cable,2001,2021-04-05,38770.52,1.09,73,7,41297,0.7,0.48,0.05,8.32,0,2028,0.5
A0521,Switchgear,1981,2022-03-11,26139.05,7.44,1,2,87394,0.83,0.46,0.62,29.34,0,2029,3.26
A0522,Transformer,2003,2021-10-19,17730.73,7.36,42,1,69607,0.56,0.36,0.3,87.78,0,2031,4.95
A0523,Switchgear,1987,2022-05-21,18901.1,6.6,19,6,17939,0.15,0.59,0.09,76.49,1,2030,9.25
A0524,Cable,1990,2022-07-19,567.0,9.91,97,7,91467,0.58,0.62,0.75,2.22,1,2034,5.73
A0525,Recloser,1992,2020-03-11,15340.13,3.81,34,0,51715,0.94,0.65,0.32,50.17,0,2032,2.62
A0526,Switchgear,1996,2024-11-14,32499.71,4.06,80,9,45460,0.64,0.07,0.46,27.47,0,2032,3.54
A0527,Recloser,1987,2023-09-28,48722.62,1.71,55,8,67576,0.83,0.63,0.24,64.86,1,2032,0.0
A0528,Transformer,2000,2020-03-30,42429.51,4.99,18,3,69222,0.82,0.95,0.62,72.16,1,2027,2.24
A0529,Recloser,1997,2022-11-24,1667.95,3.35,34,3,13666,0.94,0.54,0.31,86.29,0,2034,5.9
A0530,Recloser,2009,2021-02-28,44978.75,4.09,89,2,63119,0.79,0.72,0.96,47.54,1,2030,1.8
A0531,Circuit Breaker,1997,2024-06-03,39268.32,8.51,45,5,36321,0.77,0.56,0.7,99.45,0,2031,9.63
A0532,Circuit Breaker,2010,2024-08-12,39128.62,9.42,6,0,2779,0.31,0.85,0.14,98.0,1,2033,14.05
A0533,Circuit Breaker,2011,2021-08-14,23170.79,2.67,21,5,14186,0.15,0.93,0.42,88.22,1,2034,5.06
A0534,Recloser,1990,2023-08-10,20201.26,4.35,70,1,17459,0.57,0.18,0.39,57.49,1,2034,6.68
A0535,Cable,2004,2021-09-20,15494.33,9.36,96,8,87246,0.21,0.44,0.53,39.8,1,2028,5.51
A0536,Recloser,2012,2022-08-25,3751.9,1.56,48,1,88755,0.97,0.39,0.84,36.44,0,2029,0.0
A0537,Cable,1987,2020-05-26,11797.65,1.83,39,6,6057,0.36,0.41,0.58,1.21,0,2032,4.9
A0538,Cable,1990,2021-10-23,12706.88,2.47,31,0,61663,0.87,0.13,0.07,24.92,1,2025,0.06
A0539,Circuit Breaker,2001,2022-11-01,24461.81,6.36,10,6,19733,0.45,0.81,0.65,71.88,0,2030,8.79
A0540,Switchgear,2003,2023-08-15,37498.5,2.35,30,4,20157,0.39,0.04,0.02,60.36,1,2028,4.09
A0541,Transformer,1996,2022-11-01,23953.59,9.71,18,7,36030,0.94,0.53,0.77,91.64,1,2029,11.05
A0542,Circuit Breaker,1991,2021-04-16,3363.3,5.02,60,3,20613,0.43,0.66,0.66,5.0,0,2035,7.14
A0543,Circuit Breaker,2011,2022-04-07,47910.6,5.51,88,9,84028,0.45,0.21,0.31,15.53,0,2029,1.36
A0544,Switchgear,1994,2019-11-11,47164.85,3.22,73,6,87282,0.2,0.91,0.3,78.92,0,2026,0.0
A0545,Transformer,1995,2022-02-17,39366.88,5.24,95,5,6188,0.7,0.84,0.79,35.85,1,2032,8.85
A0546,Recloser,2001,2021-10-18,49570.73,6.96,15,4,30680,0.36,0.47,0.78,11.83,0,2026,8.39
A0547,Recloser,2007,2019-11-23,27451.88,7.76,4,3,61119,0.63,0.41,0.36,99.65,0,2028,6.27
A0548,Circuit Breaker,1999,2024-06-25,48157.03,7.78,63,6,75400,0.63,0.24,0.3,78.73,0,2029,4.86
A0549,Transformer,2012,2023-10-29,4242.45,6.2,40,4,56718,0.75,0.73,0.56,40.87,0,2025,4.9
A0550,Circuit Breaker,1989,2024-05-19,18601.2,9.14,9,4,37445,0.77,0.13,0.02,82.33,1,2030,10.25
A0551,Cable,2011,2021-05-29,11656.37,8.36,9,0,6796,0.56,0.68,0.09,68.06,1,2026,12.41
A0552,Circuit Breaker,2012,2023-02-12,10193.74,7.81,26,1,48218,0.4,0.84,0.13,79.0,1,2029,7.62
A0553,Circuit Breaker,1981,2020-01-23,7469.75,1.5,4,4,40131,0.85,0.23,0.19,81.52,1,2030,1.1
A0554,Recloser,2012,2021-12-28,31309.48,1.06,81,2,9123,0.38,0.87,0.51,8.47,1,2035,3.69
A0555,Recloser,2012,2023-10-31,39175.43,2.91,16,1,9222,0.56,0.03,0.98,62.3,1,2032,5.83
A0556,Recloser,1992,2020-03-05,29125.77,6.97,15,3,25074,0.46,0.91,0.65,0.68,1,2033,8.96
A0557,Cable,2009,2020-08-03,7774.65,4.7,99,3,30825,0.87,0.12,0.07,4.35,0,2030,5.75
A0558,Recloser,2012,2024-09-16,40650.63,4.62,52,3,37839,0.49,0.65,0.53,90.4,1,2029,4.95
A0559,Transformer,1992,2024-08-01,31979.76,8.96,69,3,69322,0.45,0.25,0.5,52.76,1,2028,6.84
A0560,Switchgear,2005,2024-09-19,19714.2,9.06,5,2,57321,0.72,0.84,0.15,73.59,1,2026,8.16
A0561,Transformer,2001,2019-09-26,33869.45,9.18,20,6,26988,0.64,0.51,0.91,83.85,1,2026,11.34
A0562,Transformer,1981,2024-07-19,13365.3,3.82,79,8,36507,0.2,0.14,0.44,94.96,0,2031,4.16
A0563,Recloser,2005,2023-04-11,17587.01,7.22,18,4,99644,0.56,0.57,0.98,86.94,1,2029,1.78
A0564,Switchgear,1994,2021-01-09,45915.55,3.44,2,3,96251,0.76,0.41,0.42,48.33,1,2031,0.0
A0565,Switchgear,2013,2022-08-19,14879.97,2.72,93,1,24806,0.99,0.66,0.61,33.6,0,2035,4.05
A0566,Switchgear,1990,2020-09-26,23764.42,2.66,13,1,37901,0.67,0.88,0.11,15.45,1,2025,2.67
A0567,Cable,1982,2023-07-22,44561.99,4.08,4,4,18043,0.43,0.41,0.46,40.03,1,2025,6.31
A0568,Recloser,1985,2020-07-20,35532.21,4.87,42,6,76761,0.3,0.29,0.24,36.65,1,2029,1.34
A0569,Switchgear,1988,2024-07-18,3579.06,8.48,74,9,10752,0.89,0.01,0.83,55.96,1,2026,12.16
A0570,Cable,1985,2024-10-14,7791.5,2.08,61,9,69993,0.83,0.57,0.78,66.55,1,2032,0.0
A0571,Circuit Breaker,1988,2020-01-04,888.16,7.61,95,8,43616,0.31,0.4,0.82,97.83,1,2027,7.85
A0572,Circuit Breaker,2010,2022-04-05,31730.63,5.78,8,6,53127,0.28,0.37,0.72,72.84,1,2025,4.77
A0573,Cable,2011,2020-06-04,22659.83,3.59,67,4,75777,0.74,0.18,0.83,64.37,0,2026,0.0
A0574,Cable,1991,2020-05-29,7146.61,5.44,63,9,1453,0.38,0.43,0.21,33.51,0,2034,9.55
A0575,Recloser,1987,2019-10-05,47917.74,3.7,9,9,76432,0.38,0.98,0.45,3.45,1,2034,0.01
A0576,Recloser,1987,2024-03-24,26718.16,6.36,94,9,88362,0.24,0.3,0.69,28.81,0,2031,1.91
A0577,Circuit Breaker,2007,2020-05-24,12473.72,4.9,11,5,11976,0.34,0.6,0.63,76.84,1,2030,7.87
A0578,Switchgear,1999,2022-12-24,25279.88,2.48,99,2,71404,0.48,0.78,0.71,20.53,0,2032,0.0
A0579,Circuit Breaker,1986,2019-10-18,34141.21,2.05,42,4,82932,0.76,0.75,0.23,71.22,1,2031,0.0
A0580,Switchgear,1990,2019-09-20,4273.84,5.92,13,7,98170,0.4,0.33,0.11,57.98,0,2034,0.41
A0581,Switchgear,1999,2023-05-20,14097.84,9.12,36,0,78707,0.4,0.61,0.91,17.19,1,2032,6.09
A0582,Recloser,1995,2022-11-07,40444.79,4.1,13,0,90647,0.36,0.87,0.56,26.16,0,2027,0.0
A0583,Transformer,1983,2019-08-13,23253.41,7.6,12,6,34688,0.53,0.02,0.16,49.63,0,2030,8.73
A0584,Transformer,1985,2020-12-14,27555.57,6.93,37,4,87840,0.26,0.44,0.79,41.84,1,2031,2.62
A0585,Cable,2001,2023-06-05,21924.39,9.38,74,4,94789,0.54,0.22,0.91,77.86,1,2034,4.78
A0586,Recloser,2005,2021-04-17,2673.05,8.39,73,0,97516,0.73,0.39,0.18,73.44,0,2035,3.35
A0587,Switchgear,1982,2022-05-26,8704.61,6.1,52,8,3017,0.13,0.42,0.81,57.46,0,2025,10.16
A0588,Transformer,1993,2023-05-02,22554.31,6.91,71,0,8957,0.11,0.75,0.92,82.23,1,2025,10.51
A0589,Switchgear,1990,2021-03-01,10854.68,9.09,2,4,5792,0.17,0.09,0.93,56.27,0,2031,13.36
A0590,Transformer,1997,2019-11-04,2973.96,4.6,56,9,56982,0.58,0.51,0.91,96.44,1,2035,3.01
A0591,Transformer,1991,2019-07-26,42260.66,3.94,60,8,14237,0.87,0.56,0.55,21.72,0,2027,6.53
A0592,Transformer,2002,2024-10-15,49069.03,1.1,23,3,52586,0.1,0.49,0.36,71.41,0,2027,0.0
A0593,Recloser,1991,2022-05-31,39760.57,8.44,40,7,82787,0.94,0.73,0.02,36.99,1,2029,4.89
A0594,Circuit Breaker,1992,2021-12-01,42762.35,8.21,64,5,20252,0.2,0.38,0.07,27.9,1,2035,10.89
A0595,Switchgear,2004,2022-12-30,12477.87,1.94,85,2,11707,0.86,0.94,0.43,18.04,1,2030,4.46
A0596,Recloser,1998,2024-03-17,48051.04,6.19,23,3,35206,0.53,0.48,0.4,55.25,0,2026,7.04
A0597,Recloser,2015,2023-12-13,10247.82,5.18,29,1,95276,0.69,0.57,0.19,21.55,0,2027,0.0
A0598,Recloser,1987,2020-07-11,47595.78,2.07,78,0,4543,0.56,0.83,0.4,20.04,0,2030,5.33
A0599,Recloser,2008,2020-06-21,49743.56,9.83,90,7,45135,0.53,0.28,0.18,99.05,1,2027,10.28
A0600,Recloser,2011,2021-05-29,35730.28,2.93,51,0,36031,0.85,0.08,0.84,80.17,0,2029,3.17
A0601,Cable,1997,2023-03-06,49066.61,1.61,69,0,43929,0.78,0.71,0.3,74.83,0,2033,0.84
A0602,Switchgear,1985,2022-11-21,28692.22,6.35,95,3,66747,0.54,0.48,0.6,79.41,1,2027,4.07
A0603,Recloser,1997,2021-04-24,13347.32,7.65,89,9,58851,0.2,0.9,0.5,96.89,0,2035,6.37
A0604,Switchgear,1998,2022-02-27,22131.3,1.29,31,9,56311,0.2,0.98,0.06,57.33,0,2030,0.0
A0605,Cable,2001,2022-05-17,29881.27,6.93,50,5,66867,0.82,0.4,0.93,22.02,1,2035,4.73
A0606,Cable,2011,2023-03-03,4117.54,5.79,20,8,89780,0.58,0.42,0.53,86.22,1,2029,1.1
A0607,Switchgear,1982,2022-10-03,31305.99,1.93,55,0,58196,0.53,0.41,0.33,74.27,1,2029,0.0
A0608,Transformer,2007,2021-04-06,49068.3,2.55,81,6,74705,0.71,0.32,0.16,41.43,1,2035,0.0
A0609,Circuit Breaker,1989,2023-04-01,9910.33,6.11,2,9,58894,0.87,0.78,0.34,47.36,1,2030,4.57
A0610,Transformer,2014,2019-10-29,39733.46,3.67,25,4,88640,0.67,0.76,0.03,41.13,1,2030,0.0
A0611,Transformer,2008,2022-09-16,45440.99,9.44,13,7,15591,0.79,0.48,0.37,92.99,1,2025,12.79
A0612,Transformer,1994,2021-08-15,47213.23,8.37,92,6,98247,0.79,0.04,0.53,34.35,1,2035,3.26
A0613,Recloser,2012,2023-01-17,48026.71,9.85,70,3,49893,0.42,0.31,0.86,96.35,1,2033,9.82
A0614,Cable,1986,2019-11-08,26312.25,3.34,67,3,1727,0.35,0.29,0.68,91.03,0,2029,7.08
A0615,Transformer,1991,2021-02-14,48876.74,9.73,58,5,22359,0.82,0.81,0.12,63.05,1,2025,12.44
A0616,Cable,2009,2024-05-29,37986.86,4.88,99,5,44822,0.44,0.09,0.15,57.98,1,2032,4.55
A0617,Switchgear,2000,2020-07-24,8502.74,4.13,82,8,89534,0.91,0.81,0.43,37.01,0,2031,0.0
A0618,Circuit Breaker,2010,2020-08-19,24106.56,1.45,75,4,11929,0.16,0.67,0.2,1.83,1,2031,3.86
A0619,Switchgear,2003,2020-06-27,36057.39,1.47,84,7,61091,0.15,0.73,0.04,12.76,0,2029,0.0
A0620,Switchgear,1999,2020-04-20,12743.35,7.23,64,4,81378,0.93,0.43,0.8,75.42,0,2025,3.62
A0621,Recloser,1983,2022-03-24,32210.45,5.12,69,1,24519,0.68,0.68,0.03,47.15,1,2033,6.87
A0622,Circuit Breaker,2007,2023-06-04,33496.72,3.04,83,5,18393,0.44,0.61,0.82,14.98,0,2035,5.07
A0623,Switchgear,1999,2022-12-09,8553.64,6.53,86,8,35318,0.78,0.77,0.15,26.4,1,2033,7.43
A0624,Switchgear,2003,2022-05-22,28471.72,3.28,59,2,75531,0.71,0.45,0.97,94.78,1,2032,0.0
A0625,Circuit Breaker,2011,2021-01-01,38695.53,6.2,60,0,95192,0.58,0.47,0.6,36.71,0,2029,1.04
A0626,Circuit Breaker,2015,2022-07-11,25195.34,4.23,83,0,48934,0.19,0.64,0.73,90.77,0,2027,3.39
A0627,Switchgear,2013,2023-03-26,1099.1,8.41,62,2,82103,0.83,0.11,0.12,30.46,0,2032,4.92
A0628,Circuit Breaker,2015,2023-10-16,947.4,8.39,16,9,29840,0.88,0.44,0.85,54.32,1,2025,10.14
A0629,Switchgear,1981,2021-03-08,18172.95,5.3,88,4,90367,0.25,0.97,0.83,2.05,1,2027,0.48
A0630,Switchgear,1994,2021-07-08,46346.61,4.16,68,2,14265,0.87,0.04,0.65,52.19,0,2035,6.78
A0631,Recloser,2013,2022-06-14,11819.5,4.26,15,8,6424,0.89,0.32,0.5,63.69,1,2031,7.68
A0632,Transformer,2015,2024-06-23,31901.0,8.25,89,7,21625,0.59,0.31,0.72,23.43,1,2028,10.8
A0633,Switchgear,1985,2021-07-08,11492.76,3.95,55,2,80622,0.69,0.63,0.02,57.89,0,2031,0.0
A0634,Cable,1991,2024-03-08,16422.66,2.88,35,8,30187,0.44,0.11,0.59,64.72,0,2035,3.7
A0635,Transformer,1982,2023-03-12,42478.08,1.76,55,5,36929,0.35,0.63,0.84,68.69,0,2029,1.72
A0636,Transformer,1997,2022-06-11,36578.64,5.2,14,6,62892,0.75,0.1,0.36,77.64,0,2030,3.11
A0637,Transformer,2000,2019-10-19,5222.26,5.34,49,3,21539,0.88,0.09,0.12,31.13,0,2031,7.42
A0638,Recloser,1994,2021-01-09,21720.75,8.57,83,3,57630,0.69,0.73,0.42,56.78,0,2034,7.56
A0639,Switchgear,2012,2021-08-15,1943.9,2.99,100,1,91639,0.56,0.32,0.72,98.16,0,2031,0.0
A0640,Recloser,2014,2020-06-05,24304.06,4.43,7,4,94410,0.24,0.98,0.12,89.81,0,2031,0.0
A0641,Switchgear,2005,2020-02-15,33290.48,8.28,30,7,10215,0.15,0.04,0.21,95.27,0,2031,11.98
A0642,Recloser,1987,2024-05-12,6365.88,8.41,83,6,40385,0.5,0.45,0.15,38.61,0,2035,9.1
A0643,Recloser,2015,2023-05-01,14799.8,4.46,49,6,88580,0.14,0.11,0.79,78.69,1,2031,0.0
A0644,Cable,2009,2020-08-06,20192.91,5.13,89,5,78462,0.61,0.35,0.07,61.99,1,2027,1.47
A0645,Recloser,2002,2022-08-15,46016.79,3.73,16,2,98037,0.44,1.0,0.68,8.27,0,2027,0.0
A0646,Circuit Breaker,1993,2019-11-23,49666.12,9.39,51,4,96310,0.78,0.89,0.37,82.4,1,2031,4.64
A0647,Cable,1993,2021-06-30,2723.11,2.07,72,0,26008,0.38,0.05,0.75,67.71,1,2026,3.17
A0648,Recloser,1981,2020-03-19,38169.89,9.4,82,6,49928,0.63,0.56,0.96,19.89,1,2026,9.3
A0649,Transformer,1984,2020-06-04,18900.34,7.15,92,8,84096,0.58,0.65,0.12,7.97,1,2027,3.26
A0650,Circuit Breaker,1993,2023-04-17,19926.68,5.78,80,0,90876,0.1,0.21,0.32,83.7,1,2028,0.98
A0651,Circuit Breaker,2004,2019-10-17,37836.12,1.29,83,1,25976,0.17,0.15,0.8,7.89,1,2030,2.27
A0652,Circuit Breaker,1999,2024-03-28,45962.11,5.28,42,2,28626,0.36,0.9,0.27,9.14,0,2032,6.64
A0653,Cable,1981,2022-07-12,47570.97,4.67,17,2,99256,0.89,0.97,0.22,42.74,0,2034,0.0
A0654,Recloser,1985,2020-11-29,29067.57,2.45,63,7,60789,0.23,0.99,0.82,13.48,1,2034,0.13
A0655,Recloser,1996,2020-08-29,18177.5,6.91,45,6,5700,0.74,0.79,0.98,91.37,1,2031,10.84
A0656,Transformer,2004,2024-05-21,39483.68,9.74,77,5,64645,0.98,0.66,0.56,47.03,0,2028,8.22
A0657,Transformer,2007,2023-01-13,12924.57,6.06,7,9,74396,0.81,0.35,0.28,56.92,1,2026,2.96
A0658,Circuit Breaker,1981,2019-07-30,28421.66,7.43,27,9,8526,0.32,0.17,0.4,92.81,1,2026,11.16
A0659,Transformer,2014,2020-09-12,18249.63,1.62,10,3,40500,0.92,0.08,0.18,53.03,1,2028,1.2
A0660,Cable,1984,2021-12-05,33003.24,4.76,34,8,69049,0.18,0.69,0.76,35.36,1,2030,1.99
A0661,Recloser,1980,2023-03-05,12399.75,2.05,36,0,74366,0.52,0.78,0.77,79.72,1,2027,0.0
A0662,Circuit Breaker,1991,2021-01-10,9983.85,6.52,25,1,81317,0.9,0.83,0.87,44.29,0,2030,2.8
A0663,Transformer,2015,2023-01-31,45952.83,9.45,6,3,60117,0.68,0.91,0.04,31.85,0,2029,8.33
A0664,Cable,2002,2020-01-15,5539.28,6.96,24,2,57096,0.47,0.88,0.56,72.32,1,2029,5.74
A0665,Cable,2010,2021-07-25,25544.92,1.69,18,0,8910,0.36,1.0,0.22,80.16,0,2026,4.45
A0666,Transformer,1990,2021-09-18,11432.21,4.19,87,4,82383,0.44,0.24,0.34,79.17,1,2032,0.0
A0667,Recloser,1989,2020-10-29,2427.03,5.96,6,6,72185,0.56,0.76,0.78,97.77,1,2029,3.07
A0668,Transformer,1982,2020-04-29,2282.93,4.63,29,1,51248,0.39,0.59,0.2,78.67,1,2035,3.62
A0669,Circuit Breaker,1993,2022-05-04,9173.48,8.5,25,4,75656,0.97,0.26,0.64,76.99,1,2026,5.67
A0670,Transformer,1995,2024-05-18,43405.13,8.33,55,5,2951,0.94,0.98,0.65,85.75,1,2031,12.76
A0671,Cable,1989,2019-08-11,14482.7,6.51,81,6,66212,0.88,0.9,0.95,0.02,1,2033,4.3
A0672,Transformer,2008,2020-12-14,47547.73,4.36,46,0,76701,0.48,0.13,0.77,36.24,1,2033,0.75
A0673,Recloser,1989,2020-04-18,29290.3,3.3,24,6,80888,0.72,0.03,0.8,73.76,1,2025,0.0
A0674,Switchgear,1991,2023-07-30,22112.4,1.95,75,3,76282,0.91,0.69,0.53,59.97,1,2031,0.0
A0675,Transformer,2009,2019-09-09,29214.4,4.19,26,7,95533,0.87,0.6,0.19,17.76,0,2033,0.0
A0676,Recloser,1980,2022-06-21,26076.57,4.72,98,3,42954,0.47,0.94,0.43,30.37,1,2030,4.56
A0677,Recloser,1984,2024-07-14,38059.42,7.08,28,5,90719,0.2,0.23,0.55,33.68,0,2025,2.51
A0678,Cable,1999,2021-04-06,14483.56,6.92,3,8,9804,0.17,0.08,0.67,56.78,0,2026,10.44
A0679,Recloser,1987,2024-06-21,17975.99,1.63,75,4,93705,0.62,0.26,0.61,83.16,1,2028,0.0
A0680,Recloser,1991,2024-01-24,44757.67,4.56,38,3,1595,0.68,0.02,0.4,93.25,0,2028,8.52
